"","sp","taxo","group_kernels","group_detection","group_atlas"
"416","Sora",3495,"shorebirds_waders","",""
"417","rail/crake sp.",3551,"shorebirds_waders","",""
"418","Purple Gallinule",3554,"waterfowl_dabbling","",""
"419","Common Gallinule",3583.5,"waterfowl_dabbling","",""
"420","Common Gallinule",3584,"waterfowl_dabbling","",""
"421","Eurasian Moorhen/Common Gallinule",3591.5,"waterfowl_dabbling","",""
"422","American Coot",3614.5,"waterfowl_dabbling","",""
"423","American Coot",3615,"waterfowl_dabbling","",""
"424","coot sp.",3623,"waterfowl_dabbling","",""
"425","gallinule/moorhen/coot sp.",3624,"waterfowl_dabbling","",""
"426","Sandhill Crane",3717,"shorebirds_waders","",""
"427","Sandhill Crane",3718,"shorebirds_waders","",""
"428","Sandhill Crane",3718.5,"shorebirds_waders","",""
"429","Common Crane",3730,"shorebirds_waders","",""
"430","Sandhill x Common Crane (hybrid)",3730.5,"shorebirds_waders","",""
"431","Whooping Crane",3732,"shorebirds_waders","",""
"432","Black-winged Stilt",3769,"shorebirds_waders","",""
"433","Black-necked Stilt",3773,"shorebirds_waders","",""
"434","Black-necked Stilt",3774,"shorebirds_waders","",""
"435","American Avocet",3782,"shorebirds_waders","",""
"436","Eurasian Oystercatcher",3785,"shorebirds_waders","",""
"437","American Oystercatcher",3796,"shorebirds_waders","",""
"438","Black Oystercatcher",3803,"shorebirds_waders","",""
"439","Black-bellied Plover",3805.1,"shorebirds_waders","",""
"440","European Golden-Plover",3805.2,"shorebirds_waders","",""
"441","American Golden-Plover",3805.5,"shorebirds_waders","",""
"442","Pacific Golden-Plover",3805.6,"shorebirds_waders","",""
"443","American/Pacific Golden-Plover (Lesser Golden-Plover)",3805.7,"shorebirds_waders","",""
"444","golden-plover sp.",3805.8,"shorebirds_waders","",""
"445","Black-bellied Plover/golden-plover sp.",3805.9,"shorebirds_waders","",""
"446","Northern Lapwing",3807,"shorebirds_waders","",""
"447","Lesser Sand-Plover",3861,"shorebirds_waders","",""
"448","Lesser Sand-Plover",3866,"shorebirds_waders","",""
"449","Snowy Plover",3887,"shorebirds_waders","",""
"450","Snowy Plover",3888,"shorebirds_waders","",""
"451","Wilson's Plover",3892,"shorebirds_waders","",""
"452","Common Ringed Plover",3896,"shorebirds_waders","",""
"453","Semipalmated Plover",3899,"shorebirds_waders","",""
"454","Common Ringed/Semipalmated Plover",3899.2,"shorebirds_waders","",""
"455","Piping Plover",3901,"shorebirds_waders","",""
"456","Killdeer",3921,"shorebirds_waders","",""
"457","Mountain Plover",3924.5,"shorebirds_waders","",""
"458","Eurasian Dotterel",3926,"shorebirds_waders","",""
"459","small plover sp.",3930,"shorebirds_waders","",""
"460","plover sp.",3938,"shorebirds_waders","",""
"461","Northern Jacana",3949,"shorebirds_waders","",""
"462","Upland Sandpiper",3991,"shorebirds_waders","",""
"463","Little Curlew",3992,"shorebirds_waders","",""
"464","Eskimo Curlew",3993,"shorebirds_waders","",""
"465","Whimbrel",3994,"shorebirds_waders","",""
"466","Whimbrel",3995,"shorebirds_waders","",""
"467","Whimbrel",3999,"shorebirds_waders","",""
"468","Bristle-thighed Curlew",4000,"shorebirds_waders","",""
"469","Far Eastern Curlew",4001,"shorebirds_waders","",""
"470","Slender-billed Curlew",4002,"shorebirds_waders","",""
"471","Eurasian Curlew",4003,"shorebirds_waders","",""
"472","Whimbrel/Eurasian Curlew",4005.5,"shorebirds_waders","",""
"473","Long-billed Curlew",4006,"shorebirds_waders","",""
"474","Black-tailed Godwit",4010,"shorebirds_waders","",""
"475","Black-tailed Godwit",4011,"shorebirds_waders","",""
"476","Black-tailed Godwit",4012,"shorebirds_waders","",""
"477","Hudsonian Godwit",4014,"shorebirds_waders","",""
"478","Bar-tailed Godwit",4015,"shorebirds_waders","",""
"479","Bar-tailed Godwit",4016,"shorebirds_waders","",""
"480","Bar-tailed Godwit",4018,"shorebirds_waders","",""
"481","Marbled Godwit",4019,"shorebirds_waders","",""
"482","godwit sp.",4022,"shorebirds_waders","",""
"483","Ruddy Turnstone",4023,"shorebirds_waders","",""
"484","Black Turnstone",4026,"shorebirds_waders","",""
"485","Red Knot",4029,"shorebirds_waders","",""
"486","Surfbird",4035.2,"shorebirds_waders","",""
"487","Ruff",4036,"shorebirds_waders","",""
"488","Broad-billed Sandpiper",4037,"shorebirds_waders","",""
"489","Sharp-tailed Sandpiper",4052,"shorebirds_waders","",""
"490","Stilt Sandpiper",4053,"shorebirds_waders","",""
"491","Curlew Sandpiper",4054,"shorebirds_waders","",""
"492","Temminck's Stint",4055,"shorebirds_waders","",""
"493","Spoon-billed Sandpiper",4057,"shorebirds_waders","",""
"494","Red-necked Stint",4058,"shorebirds_waders","",""
"495","Sanderling",4059,"shorebirds_waders","",""
"496","Dunlin",4060,"shorebirds_waders","",""
"497","Dunlin",4061,"shorebirds_waders","",""
"498","Dunlin",4064,"shorebirds_waders","",""
"499","Dunlin",4065,"shorebirds_waders","",""
"500","Dunlin",4066,"shorebirds_waders","",""
"501","Rock Sandpiper",4071,"shorebirds_waders","",""
"502","Rock Sandpiper",4071.2,"shorebirds_waders","",""
"503","Purple Sandpiper",4072,"shorebirds_waders","",""
"504","Baird's Sandpiper",4073,"shorebirds_waders","",""
"505","Little Stint",4074,"shorebirds_waders","",""
"506","Least Sandpiper",4076,"shorebirds_waders","",""
"507","White-rumped Sandpiper",4077,"shorebirds_waders","",""
"508","Dunlin x White-rumped Sandpiper (hybrid)",4077.1,"shorebirds_waders","",""
"509","Buff-breasted Sandpiper",4078,"shorebirds_waders","",""
"510","White-rumped x Buff-breasted Sandpiper (hybrid)",4078.01,"shorebirds_waders","",""
"511","Pectoral Sandpiper",4078.02,"shorebirds_waders","",""
"512","Sharp-tailed/Pectoral Sandpiper",4078.03,"shorebirds_waders","",""
"513","Semipalmated Sandpiper",4078.05,"shorebirds_waders","",""
"514","Western Sandpiper",4078.06,"shorebirds_waders","",""
"515","Semipalmated/Western Sandpiper",4078.07,"shorebirds_waders","",""
"516","peep sp.",4078.08,"shorebirds_waders","",""
"517","Calidris sp.",4078.09,"shorebirds_waders","",""
"518","Short-billed Dowitcher",4080,"shorebirds_waders","",""
"519","Short-billed Dowitcher",4081,"shorebirds_waders","",""
"520","Short-billed Dowitcher",4082,"shorebirds_waders","",""
"521","Short-billed Dowitcher",4083,"shorebirds_waders","",""
"522","Long-billed Dowitcher",4084,"shorebirds_waders","",""
"523","Short-billed/Long-billed Dowitcher",4085,"shorebirds_waders","",""
"524","Jack Snipe",4096,"shorebirds_waders","",""
"525","Wilson's Snipe",4103,"shorebirds_waders","",""
"526","Common Snipe",4104,"shorebirds_waders","",""
"527","Wilson's/Common Snipe",4107,"shorebirds_waders","",""
"528","snipe sp.",4126,"shorebirds_waders","",""
"529","American Woodcock",4135,"shorebirds_waders","",""
"530","Terek Sandpiper",4135.5,"shorebirds_waders","",""
"531","Wilson's Phalarope",4136,"shorebirds_waders","Phalaropes","Phalaropes"
"532","Red-necked Phalarope",4137,"shorebirds_waders","Phalaropes","Phalaropes"
"533","Red Phalarope",4138,"shorebirds_waders","Phalaropes","Phalaropes"
"534","Red-necked/Red Phalarope",4138.5,"shorebirds_waders","Phalaropes","Phalaropes"
"535","phalarope sp.",4139,"shorebirds_waders","Phalaropes","Phalaropes"
"536","Spotted Sandpiper",4139.02,"shorebirds_waders","",""
"537","Common/Spotted Sandpiper",4139.03,"shorebirds_waders","",""
"538","Solitary Sandpiper",4139.05,"shorebirds_waders","",""
"539","Solitary Sandpiper",4139.06,"shorebirds_waders","",""
"540","Solitary Sandpiper",4139.07,"shorebirds_waders","",""
"541","Wandering Tattler",4139.09,"shorebirds_waders","",""
"542","Spotted Redshank",4139.11,"shorebirds_waders","",""
"543","Greater Yellowlegs",4139.12,"shorebirds_waders","",""
"544","Common Greenshank",4139.13,"shorebirds_waders","",""
"545","Willet",4139.16,"shorebirds_waders","",""
"546","Willet",4139.17,"shorebirds_waders","",""
"547","Willet",4139.18,"shorebirds_waders","",""
"548","Lesser Yellowlegs",4139.19,"shorebirds_waders","",""
"549","Greater/Lesser Yellowlegs",4139.2,"shorebirds_waders","",""
"550","Wood Sandpiper",4139.22,"shorebirds_waders","",""
